"","file","date","time_point","culture_ID","replicate","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","11.05.2022","t7",1,1,2,0.0581395348837209,8024.62788,233.27406627907,102.3124122,5.67264903508507,50.6839032,21.2786368343858,483.048,472.05883026589,465.33,452.435202874401,0.265,0,0.0290697674418605,0,0,0,0,0.0290697674418605,0,0,0,0
"2","sample_00002","11.05.2022","t7",2,1,0.648,0.0188372093023256,1804.275,52.4498546511628,93.3485681664619,3.25355416342629,36.7660492628993,0.630862427862124,174.866847826087,22.4391113877622,41.205,19.97576656852,0.845,0,0.0188372093023256,0,0,0,0,0,0,0,0,0
"3","sample_00003","11.05.2022","t7",3,1,5,0.145348837209302,15617.93562,454.009756395349,104.28622992,22.7974729436942,37.00273104,9.14313488696384,238.1972,126.064057086864,178.702,120.240741098847,0.374,0,0.116279069767442,0.0290697674418605,0,0,0,0,0,0,0,0
"4","sample_00004","11.05.2022","t7",4,1,2,0.0581395348837209,7544.75634,219.324312209302,88.8024708,2.23700357864718,54.694602,10.2161430100813,359.215,305.443259414903,130.375,30.0025407257452,0.34,0,0.0290697674418605,0,0,0.0290697674418605,0,0,0,0,0,0
"5","sample_00005","11.05.2022","t7",5,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"6","sample_00006","11.05.2022","t7",6,1,10.576,0.307441860465116,47878.2414,1391.80934302326,106.064729569537,19.8618510444584,52.8160801276809,8.13006504845517,245.947671027776,230.605691784049,128.449166666667,124.516837303112,0.386666666666667,0.0290697674418605,0.198372093023256,0.0218604651162791,0,0.0581395348837209,0,0,0,0,0,0
"7","sample_00007","11.05.2022","t7",7,1,6,0.174418604651163,21397.25808,622.01331627907,99.6049602,20.367058232713,46.3807026,4.323522631719,208.162666666667,57.4982686440789,104.473333333333,70.386276692738,0.333333333333333,0,0.116279069767442,0,0,0,0.0581395348837209,0,0,0,0,0
"8","sample_00008","11.05.2022","t7",8,1,8.512,0.247441860465116,38028.34332,1105.47509651163,109.569370123409,35.2930433164461,50.5163228111392,9.91222566345317,348.919647596677,232.554160529137,162.431,162.16062986023,0.451,0.0290697674418605,0.107209302325581,0,0,0.0765116279069768,0,0,0.0346511627906977,0,0,0
"9","sample_00009","11.05.2022","t7",9,1,3.776,0.109767441860465,11802.05802,343.083081976744,78.1119963983362,38.6713585945858,42.5928954597517,16.6379644475219,382.993827189202,259.953716877763,199.711666666667,180.02117468972,0.488333333333333,0.0265116279069767,0.0402325581395349,0.00744186046511628,0,0.0355813953488372,0,0,0,0,0,0
"10","sample_00010","11.05.2022","t7",10,1,9.288,0.27,34313.50512,997.485613953488,97.9391249629008,28.3313848615257,44.8053176092292,11.4362539273305,245.373485834625,191.3364380926,145.273333333333,111.126292554776,0.3325,0,0.146279069767442,0,0.0290697674418605,0.0290697674418605,0.00744186046511628,0.0290697674418605,0.0290697674418605,0,0,0
"11","sample_00011","11.05.2022","t7",11,1,20.456,0.594651162790698,67857.92982,1972.61423895349,89.7024583234926,37.9764507719846,42.4285492307513,10.9358732751492,211.416298133692,156.682828120222,112.041290322581,158.717446735636,0.604516129032258,0.0604651162790698,0.35,0,0.0581395348837209,0.0581395348837209,0.0290697674418605,0,0.0288372093023256,0,0.01,0
